subject,adjective
astronomy,achronic
astronomy,early
astronomy,red
astronomy,blue
astronomy,emp
astronomy,astral
astronomy,lunar
astronomy,saturnian
astronomy,mercurial
astronomy,recent
astronomy,extragalactic
astronomy,direct
astronomy,sidereal
astronomy,retrograde
astronomy,late
astronomy,waning gibbous
astronomy,inferior
astronomy,terrestrial
astronomy,heliocentric
astronomy,venusian
astronomy,martian
astronomy,stellar
astronomy,intergalactic
astronomy,galactic
astronomy,conjunctive
astronomy,periodic
astronomy,terran
astronomy,insulated
astronomy,circumpolar
astronomy,informed
astronomy,arctic
astronomy,martial
astronomy,neptunian
astronomy,jovian
astronomy,telescopic
astronomy,planetary
astronomy,zodiacal
astronomy,uranian
astronomy,gibbous
astronomy,trojan
astronomy,astrometric
astronomy,cosmic
astronomy,equinoctial
astronomy,quaquaversal
astronomy,ionian
astronomy,damocloid
astronomy,long-period
astronomy,vulcanoid
astronomy,short-period
astronomy,extrasolar
astronomy,unformed
astronomy,cometary
astronomy,deep-sky
astronomy,nebular
astronomy,meteoritic
astronomy,coronal
astronomy,lunarian
astronomy,mercurian
astronomy,plutonian
astronomy,palladian
astronomy,photovisual
astronomy,occulted
astronomy,sexagenary
astronomy,superluminal
astronomy,presolar
astronomy,meridional
astronomy,coplanar
astronomy,sextile
astronomy,comatic
astronomy,protoplanetary
astronomy,coronagraphic
astronomy,planetesimal
astronomy,apsidal
astronomy,tidally locked
astronomy,redshifted
astronomy,synodic
astronomy,zenographic
astronomy,resurgent
astronomy,infalling
astronomy,cepheid
astronomy,preatmospheric
astronomy,circumstellar
astronomy,eridian
astronomy,anomalistic
astronomy,rhean
astronomy,ganymedian
astronomy,callistoan
astronomy,titanian
astronomy,europan
astronomy,tritonian
astronomy,radio-bright
astronomy,radio-luminous
astronomy,curtate
astronomy,callippic
astronomy,cosmical
astronomy,circumplanetary
astronomy,exoplanetary
astronomy,substellar
astronomy,stellocentric
astronomy,intracrater
astronomy,pele-type
astronomy,prometheus-type
astronomy,pericentric
astronomy,prograde
astronomy,solar-type
